series_slug,series_name,episode_no,episode_slug,source_key,dest_key,size
eleceed,Eleceed,102,episode-000102-episode-102,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000102-episode-102/page-0472.jpg,datasets/pages/single/eleceed_manwa/episode-000102-episode-102__page-0472.jpg,80531
eleceed,Eleceed,70,episode-000070-episode-70,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000070-episode-70/page-0058.jpg,datasets/pages/single/eleceed_manwa/episode-000070-episode-70__page-0058.jpg,72731
eleceed,Eleceed,70,episode-000070-episode-70,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000070-episode-70/page-0057.jpg,datasets/pages/single/eleceed_manwa/episode-000070-episode-70__page-0057.jpg,90478
teenage-mercenary,Teenage Mercenary,160,episode-000160-episode-159,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000160-episode-159/page-0293.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000160-episode-159__page-0293.jpg,137349
eleceed,Eleceed,70,episode-000070-episode-70,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000070-episode-70/page-0056.jpg,datasets/pages/single/eleceed_manwa/episode-000070-episode-70__page-0056.jpg,87991
eleceed,Eleceed,102,episode-000102-episode-102,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000102-episode-102/page-0473.jpg,datasets/pages/single/eleceed_manwa/episode-000102-episode-102__page-0473.jpg,90283
eleceed,Eleceed,70,episode-000070-episode-70,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000070-episode-70/page-0055.jpg,datasets/pages/single/eleceed_manwa/episode-000070-episode-70__page-0055.jpg,69215
teenage-mercenary,Teenage Mercenary,263,episode-000263-episode-262,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000263-episode-262/page-0043.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000263-episode-262__page-0043.jpg,110422
eleceed,Eleceed,70,episode-000070-episode-70,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000070-episode-70/page-0054.jpg,datasets/pages/single/eleceed_manwa/episode-000070-episode-70__page-0054.jpg,8357
teenage-mercenary,Teenage Mercenary,160,episode-000160-episode-159,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000160-episode-159/page-0294.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000160-episode-159__page-0294.jpg,111372
eleceed,Eleceed,309,episode-000309-episode-309,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000309-episode-309/page-0212.jpg,datasets/pages/single/eleceed_manwa/episode-000309-episode-309__page-0212.jpg,43389
eleceed,Eleceed,70,episode-000070-episode-70,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000070-episode-70/page-0053.jpg,datasets/pages/single/eleceed_manwa/episode-000070-episode-70__page-0053.jpg,49357
eleceed,Eleceed,102,episode-000102-episode-102,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000102-episode-102/page-0474.jpg,datasets/pages/single/eleceed_manwa/episode-000102-episode-102__page-0474.jpg,95370
eleceed,Eleceed,70,episode-000070-episode-70,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000070-episode-70/page-0052.jpg,datasets/pages/single/eleceed_manwa/episode-000070-episode-70__page-0052.jpg,58141
eleceed,Eleceed,70,episode-000070-episode-70,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000070-episode-70/page-0051.jpg,datasets/pages/single/eleceed_manwa/episode-000070-episode-70__page-0051.jpg,109119
teenage-mercenary,Teenage Mercenary,160,episode-000160-episode-159,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000160-episode-159/page-0295.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000160-episode-159__page-0295.jpg,54735
eleceed,Eleceed,70,episode-000070-episode-70,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000070-episode-70/page-0050.jpg,datasets/pages/single/eleceed_manwa/episode-000070-episode-70__page-0050.jpg,100802
eleceed,Eleceed,102,episode-000102-episode-102,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000102-episode-102/page-0475.jpg,datasets/pages/single/eleceed_manwa/episode-000102-episode-102__page-0475.jpg,75892
eleceed,Eleceed,70,episode-000070-episode-70,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000070-episode-70/page-0049.jpg,datasets/pages/single/eleceed_manwa/episode-000070-episode-70__page-0049.jpg,68007
eleceed,Eleceed,70,episode-000070-episode-70,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000070-episode-70/page-0048.jpg,datasets/pages/single/eleceed_manwa/episode-000070-episode-70__page-0048.jpg,71043
teenage-mercenary,Teenage Mercenary,160,episode-000160-episode-159,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000160-episode-159/page-0296.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000160-episode-159__page-0296.jpg,63608
eleceed,Eleceed,70,episode-000070-episode-70,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000070-episode-70/page-0047.jpg,datasets/pages/single/eleceed_manwa/episode-000070-episode-70__page-0047.jpg,87252
eleceed,Eleceed,102,episode-000102-episode-102,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000102-episode-102/page-0476.jpg,datasets/pages/single/eleceed_manwa/episode-000102-episode-102__page-0476.jpg,19808
eleceed,Eleceed,70,episode-000070-episode-70,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000070-episode-70/page-0046.jpg,datasets/pages/single/eleceed_manwa/episode-000070-episode-70__page-0046.jpg,25197
teenage-mercenary,Teenage Mercenary,263,episode-000263-episode-262,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000263-episode-262/page-0042.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000263-episode-262__page-0042.jpg,162115
eleceed,Eleceed,70,episode-000070-episode-70,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000070-episode-70/page-0045.jpg,datasets/pages/single/eleceed_manwa/episode-000070-episode-70__page-0045.jpg,59724
teenage-mercenary,Teenage Mercenary,160,episode-000160-episode-159,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000160-episode-159/page-0297.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000160-episode-159__page-0297.jpg,114034
eleceed,Eleceed,309,episode-000309-episode-309,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000309-episode-309/page-0211.jpg,datasets/pages/single/eleceed_manwa/episode-000309-episode-309__page-0211.jpg,40340
eleceed,Eleceed,70,episode-000070-episode-70,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000070-episode-70/page-0044.jpg,datasets/pages/single/eleceed_manwa/episode-000070-episode-70__page-0044.jpg,54181
eleceed,Eleceed,102,episode-000102-episode-102,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000102-episode-102/page-0477.jpg,datasets/pages/single/eleceed_manwa/episode-000102-episode-102__page-0477.jpg,130108
eleceed,Eleceed,70,episode-000070-episode-70,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000070-episode-70/page-0043.jpg,datasets/pages/single/eleceed_manwa/episode-000070-episode-70__page-0043.jpg,77486
eleceed,Eleceed,70,episode-000070-episode-70,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000070-episode-70/page-0042.jpg,datasets/pages/single/eleceed_manwa/episode-000070-episode-70__page-0042.jpg,78228
teenage-mercenary,Teenage Mercenary,160,episode-000160-episode-159,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000160-episode-159/page-0298.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000160-episode-159__page-0298.jpg,169161
lookism,Lookism,469,episode-000469-ep-469-workers-1st-affiliate-21,datasets/pages/source/webtoon_cleaned_dim_v2/lookism/episode-000469-ep-469-workers-1st-affiliate-21/page-0352.jpg,datasets/pages/single/lookism_manwa/episode-000469-ep-469-workers-1st-affiliate-21__page-0352.jpg,32643
eleceed,Eleceed,70,episode-000070-episode-70,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000070-episode-70/page-0041.jpg,datasets/pages/single/eleceed_manwa/episode-000070-episode-70__page-0041.jpg,71108
tower-of-god,Tower of God,14,episode-000014-season-1-ep-13,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000014-season-1-ep-13/page-0171.jpg,datasets/pages/single/tower-of-god_manwa/episode-000014-season-1-ep-13__page-0171.jpg,58325
tower-of-god,Tower of God,93,episode-000093-season-2-ep-13,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000093-season-2-ep-13/page-0146.jpg,datasets/pages/single/tower-of-god_manwa/episode-000093-season-2-ep-13__page-0146.jpg,61254
tower-of-god,Tower of God,14,episode-000014-season-1-ep-13,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000014-season-1-ep-13/page-0170.jpg,datasets/pages/single/tower-of-god_manwa/episode-000014-season-1-ep-13__page-0170.jpg,50678
tower-of-god,Tower of God,14,episode-000014-season-1-ep-13,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000014-season-1-ep-13/page-0169.jpg,datasets/pages/single/tower-of-god_manwa/episode-000014-season-1-ep-13__page-0169.jpg,55784
tower-of-god,Tower of God,326,episode-000326-season-2-ep-245,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000326-season-2-ep-245/page-0474.jpg,datasets/pages/single/tower-of-god_manwa/episode-000326-season-2-ep-245__page-0474.jpg,42420
tower-of-god,Tower of God,14,episode-000014-season-1-ep-13,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000014-season-1-ep-13/page-0168.jpg,datasets/pages/single/tower-of-god_manwa/episode-000014-season-1-ep-13__page-0168.jpg,56537
tower-of-god,Tower of God,93,episode-000093-season-2-ep-13,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000093-season-2-ep-13/page-0147.jpg,datasets/pages/single/tower-of-god_manwa/episode-000093-season-2-ep-13__page-0147.jpg,76087
tower-of-god,Tower of God,14,episode-000014-season-1-ep-13,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000014-season-1-ep-13/page-0167.jpg,datasets/pages/single/tower-of-god_manwa/episode-000014-season-1-ep-13__page-0167.jpg,58979
tower-of-god,Tower of God,14,episode-000014-season-1-ep-13,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000014-season-1-ep-13/page-0166.jpg,datasets/pages/single/tower-of-god_manwa/episode-000014-season-1-ep-13__page-0166.jpg,59487
tower-of-god,Tower of God,14,episode-000014-season-1-ep-13,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000014-season-1-ep-13/page-0165.jpg,datasets/pages/single/tower-of-god_manwa/episode-000014-season-1-ep-13__page-0165.jpg,59062
tower-of-god,Tower of God,93,episode-000093-season-2-ep-13,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000093-season-2-ep-13/page-0148.jpg,datasets/pages/single/tower-of-god_manwa/episode-000093-season-2-ep-13__page-0148.jpg,62218
tower-of-god,Tower of God,14,episode-000014-season-1-ep-13,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000014-season-1-ep-13/page-0164.jpg,datasets/pages/single/tower-of-god_manwa/episode-000014-season-1-ep-13__page-0164.jpg,65044
tower-of-god,Tower of God,14,episode-000014-season-1-ep-13,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000014-season-1-ep-13/page-0163.jpg,datasets/pages/single/tower-of-god_manwa/episode-000014-season-1-ep-13__page-0163.jpg,61081
tower-of-god,Tower of God,14,episode-000014-season-1-ep-13,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000014-season-1-ep-13/page-0162.jpg,datasets/pages/single/tower-of-god_manwa/episode-000014-season-1-ep-13__page-0162.jpg,60025
tower-of-god,Tower of God,93,episode-000093-season-2-ep-13,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000093-season-2-ep-13/page-0149.jpg,datasets/pages/single/tower-of-god_manwa/episode-000093-season-2-ep-13__page-0149.jpg,53357
tower-of-god,Tower of God,14,episode-000014-season-1-ep-13,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000014-season-1-ep-13/page-0161.jpg,datasets/pages/single/tower-of-god_manwa/episode-000014-season-1-ep-13__page-0161.jpg,59711
tower-of-god,Tower of God,14,episode-000014-season-1-ep-13,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000014-season-1-ep-13/page-0160.jpg,datasets/pages/single/tower-of-god_manwa/episode-000014-season-1-ep-13__page-0160.jpg,53357
tower-of-god,Tower of God,326,episode-000326-season-2-ep-245,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000326-season-2-ep-245/page-0473.jpg,datasets/pages/single/tower-of-god_manwa/episode-000326-season-2-ep-245__page-0473.jpg,52244
tower-of-god,Tower of God,14,episode-000014-season-1-ep-13,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000014-season-1-ep-13/page-0159.jpg,datasets/pages/single/tower-of-god_manwa/episode-000014-season-1-ep-13__page-0159.jpg,62218
tower-of-god,Tower of God,93,episode-000093-season-2-ep-13,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000093-season-2-ep-13/page-0150.jpg,datasets/pages/single/tower-of-god_manwa/episode-000093-season-2-ep-13__page-0150.jpg,59711
tower-of-god,Tower of God,14,episode-000014-season-1-ep-13,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000014-season-1-ep-13/page-0158.jpg,datasets/pages/single/tower-of-god_manwa/episode-000014-season-1-ep-13__page-0158.jpg,76087
tower-of-god,Tower of God,14,episode-000014-season-1-ep-13,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000014-season-1-ep-13/page-0157.jpg,datasets/pages/single/tower-of-god_manwa/episode-000014-season-1-ep-13__page-0157.jpg,61254
tower-of-god,Tower of God,14,episode-000014-season-1-ep-13,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000014-season-1-ep-13/page-0156.jpg,datasets/pages/single/tower-of-god_manwa/episode-000014-season-1-ep-13__page-0156.jpg,49842
tower-of-god,Tower of God,93,episode-000093-season-2-ep-13,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000093-season-2-ep-13/page-0151.jpg,datasets/pages/single/tower-of-god_manwa/episode-000093-season-2-ep-13__page-0151.jpg,60025
tower-of-god,Tower of God,14,episode-000014-season-1-ep-13,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000014-season-1-ep-13/page-0155.jpg,datasets/pages/single/tower-of-god_manwa/episode-000014-season-1-ep-13__page-0155.jpg,55196
tower-of-god,Tower of God,14,episode-000014-season-1-ep-13,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000014-season-1-ep-13/page-0154.jpg,datasets/pages/single/tower-of-god_manwa/episode-000014-season-1-ep-13__page-0154.jpg,75795
tower-of-god,Tower of God,14,episode-000014-season-1-ep-13,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000014-season-1-ep-13/page-0153.jpg,datasets/pages/single/tower-of-god_manwa/episode-000014-season-1-ep-13__page-0153.jpg,50891
tower-of-god,Tower of God,93,episode-000093-season-2-ep-13,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000093-season-2-ep-13/page-0152.jpg,datasets/pages/single/tower-of-god_manwa/episode-000093-season-2-ep-13__page-0152.jpg,61081
tower-of-god,Tower of God,14,episode-000014-season-1-ep-13,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000014-season-1-ep-13/page-0152.jpg,datasets/pages/single/tower-of-god_manwa/episode-000014-season-1-ep-13__page-0152.jpg,47468
tower-of-god,Tower of God,14,episode-000014-season-1-ep-13,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000014-season-1-ep-13/page-0151.jpg,datasets/pages/single/tower-of-god_manwa/episode-000014-season-1-ep-13__page-0151.jpg,61040
tower-of-god,Tower of God,326,episode-000326-season-2-ep-245,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000326-season-2-ep-245/page-0472.jpg,datasets/pages/single/tower-of-god_manwa/episode-000326-season-2-ep-245__page-0472.jpg,58234
tower-of-god,Tower of God,14,episode-000014-season-1-ep-13,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000014-season-1-ep-13/page-0150.jpg,datasets/pages/single/tower-of-god_manwa/episode-000014-season-1-ep-13__page-0150.jpg,62297
tower-of-god,Tower of God,93,episode-000093-season-2-ep-13,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000093-season-2-ep-13/page-0153.jpg,datasets/pages/single/tower-of-god_manwa/episode-000093-season-2-ep-13__page-0153.jpg,65044
tower-of-god,Tower of God,14,episode-000014-season-1-ep-13,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000014-season-1-ep-13/page-0149.jpg,datasets/pages/single/tower-of-god_manwa/episode-000014-season-1-ep-13__page-0149.jpg,71401
tower-of-god,Tower of God,14,episode-000014-season-1-ep-13,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000014-season-1-ep-13/page-0148.jpg,datasets/pages/single/tower-of-god_manwa/episode-000014-season-1-ep-13__page-0148.jpg,63465
tower-of-god,Tower of God,55,episode-000055-season-1-ep-54,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000055-season-1-ep-54/page-0409.jpg,datasets/pages/single/tower-of-god_manwa/episode-000055-season-1-ep-54__page-0409.jpg,60385
teenage-mercenary,Teenage Mercenary,139,episode-000139-episode-138,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000139-episode-138/page-0380.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000139-episode-138__page-0380.jpg,45143
teenage-mercenary,Teenage Mercenary,3,episode-000003-episode-2,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000003-episode-2/page-0121.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000003-episode-2__page-0121.jpg,98791
omniscient-reader,Omniscient Reader,143,episode-000143-episode-142,datasets/pages/source/webtoon_cleaned_dim_v2/omniscient-reader/episode-000143-episode-142/page-0054.jpg,datasets/pages/single/omniscient-reader_manwa/episode-000143-episode-142__page-0054.jpg,123270
lookism,Lookism,204,episode-000204-ep-204-god-dog-06,datasets/pages/source/webtoon_cleaned_dim_v2/lookism/episode-000204-ep-204-god-dog-06/page-0155.jpg,datasets/pages/single/lookism_manwa/episode-000204-ep-204-god-dog-06__page-0155.jpg,44545
eleceed,Eleceed,211,episode-000211-episode-211,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000211-episode-211/page-0219.jpg,datasets/pages/single/eleceed_manwa/episode-000211-episode-211__page-0219.jpg,41369
teenage-mercenary,Teenage Mercenary,13,episode-000013-episode-12,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000013-episode-12/page-0355.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000013-episode-12__page-0355.jpg,81611
omniscient-reader,Omniscient Reader,155,episode-000155-episode-154,datasets/pages/source/webtoon_cleaned_dim_v2/omniscient-reader/episode-000155-episode-154/page-0380.jpg,datasets/pages/single/omniscient-reader_manwa/episode-000155-episode-154__page-0380.jpg,146387
teenage-mercenary,Teenage Mercenary,3,episode-000003-episode-2,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000003-episode-2/page-0328.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000003-episode-2__page-0328.jpg,78445
omniscient-reader,Omniscient Reader,221,episode-000221-episode-220,datasets/pages/source/webtoon_cleaned_dim_v2/omniscient-reader/episode-000221-episode-220/page-0028.jpg,datasets/pages/single/omniscient-reader_manwa/episode-000221-episode-220__page-0028.jpg,82679
omniscient-reader,Omniscient Reader,45,episode-000045-episode-44,datasets/pages/source/webtoon_cleaned_dim_v2/omniscient-reader/episode-000045-episode-44/page-0012.jpg,datasets/pages/single/omniscient-reader_manwa/episode-000045-episode-44__page-0012.jpg,26804
tower-of-god,Tower of God,55,episode-000055-season-1-ep-54,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000055-season-1-ep-54/page-0408.jpg,datasets/pages/single/tower-of-god_manwa/episode-000055-season-1-ep-54__page-0408.jpg,54521
teenage-mercenary,Teenage Mercenary,70,episode-000070-episode-69,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000070-episode-69/page-0310.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000070-episode-69__page-0310.jpg,42156
omniscient-reader,Omniscient Reader,150,episode-000150-episode-149,datasets/pages/source/webtoon_cleaned_dim_v2/omniscient-reader/episode-000150-episode-149/page-0060.jpg,datasets/pages/single/omniscient-reader_manwa/episode-000150-episode-149__page-0060.jpg,110445
lookism,Lookism,204,episode-000204-ep-204-god-dog-06,datasets/pages/source/webtoon_cleaned_dim_v2/lookism/episode-000204-ep-204-god-dog-06/page-0154.jpg,datasets/pages/single/lookism_manwa/episode-000204-ep-204-god-dog-06__page-0154.jpg,27571
eleceed,Eleceed,211,episode-000211-episode-211,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000211-episode-211/page-0218.jpg,datasets/pages/single/eleceed_manwa/episode-000211-episode-211__page-0218.jpg,52125
tower-of-god,Tower of God,76,episode-000076-season-1-ep-75,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000076-season-1-ep-75/page-0108.jpg,datasets/pages/single/tower-of-god_manwa/episode-000076-season-1-ep-75__page-0108.jpg,63872
teenage-mercenary,Teenage Mercenary,13,episode-000013-episode-12,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000013-episode-12/page-0354.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000013-episode-12__page-0354.jpg,75163
omniscient-reader,Omniscient Reader,221,episode-000221-episode-220,datasets/pages/source/webtoon_cleaned_dim_v2/omniscient-reader/episode-000221-episode-220/page-0027.jpg,datasets/pages/single/omniscient-reader_manwa/episode-000221-episode-220__page-0027.jpg,92829
omniscient-reader,Omniscient Reader,155,episode-000155-episode-154,datasets/pages/source/webtoon_cleaned_dim_v2/omniscient-reader/episode-000155-episode-154/page-0319.jpg,datasets/pages/single/omniscient-reader_manwa/episode-000155-episode-154__page-0319.jpg,160613
omniscient-reader,Omniscient Reader,45,episode-000045-episode-44,datasets/pages/source/webtoon_cleaned_dim_v2/omniscient-reader/episode-000045-episode-44/page-0011.jpg,datasets/pages/single/omniscient-reader_manwa/episode-000045-episode-44__page-0011.jpg,113275
lookism,Lookism,469,episode-000469-ep-469-workers-1st-affiliate-21,datasets/pages/source/webtoon_cleaned_dim_v2/lookism/episode-000469-ep-469-workers-1st-affiliate-21/page-0157.jpg,datasets/pages/single/lookism_manwa/episode-000469-ep-469-workers-1st-affiliate-21__page-0157.jpg,50571
eleceed,Eleceed,219,episode-000219-episode-219,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000219-episode-219/page-0159.jpg,datasets/pages/single/eleceed_manwa/episode-000219-episode-219__page-0159.jpg,54263
tower-of-god,Tower of God,55,episode-000055-season-1-ep-54,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000055-season-1-ep-54/page-0407.jpg,datasets/pages/single/tower-of-god_manwa/episode-000055-season-1-ep-54__page-0407.jpg,55796
teenage-mercenary,Teenage Mercenary,13,episode-000013-episode-12,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000013-episode-12/page-0353.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000013-episode-12__page-0353.jpg,87066
omniscient-reader,Omniscient Reader,143,episode-000143-episode-142,datasets/pages/source/webtoon_cleaned_dim_v2/omniscient-reader/episode-000143-episode-142/page-0055.jpg,datasets/pages/single/omniscient-reader_manwa/episode-000143-episode-142__page-0055.jpg,56247
omniscient-reader,Omniscient Reader,221,episode-000221-episode-220,datasets/pages/source/webtoon_cleaned_dim_v2/omniscient-reader/episode-000221-episode-220/page-0026.jpg,datasets/pages/single/omniscient-reader_manwa/episode-000221-episode-220__page-0026.jpg,203067
lookism,Lookism,204,episode-000204-ep-204-god-dog-06,datasets/pages/source/webtoon_cleaned_dim_v2/lookism/episode-000204-ep-204-god-dog-06/page-0153.jpg,datasets/pages/single/lookism_manwa/episode-000204-ep-204-god-dog-06__page-0153.jpg,26253
eleceed,Eleceed,211,episode-000211-episode-211,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000211-episode-211/page-0217.jpg,datasets/pages/single/eleceed_manwa/episode-000211-episode-211__page-0217.jpg,44476
teenage-mercenary,Teenage Mercenary,3,episode-000003-episode-2,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000003-episode-2/page-0122.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000003-episode-2__page-0122.jpg,44801
omniscient-reader,Omniscient Reader,195,episode-000195-episode-194,datasets/pages/source/webtoon_cleaned_dim_v2/omniscient-reader/episode-000195-episode-194/page-0435.jpg,datasets/pages/single/omniscient-reader_manwa/episode-000195-episode-194__page-0435.jpg,73854
lookism,Lookism,119,episode-000119-ep-119-stalker-07,datasets/pages/source/webtoon_cleaned_dim_v2/lookism/episode-000119-ep-119-stalker-07/page-0237.jpg,datasets/pages/single/lookism_manwa/episode-000119-ep-119-stalker-07__page-0237.jpg,47312
tower-of-god,Tower of God,76,episode-000076-season-1-ep-75,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000076-season-1-ep-75/page-0109.jpg,datasets/pages/single/tower-of-god_manwa/episode-000076-season-1-ep-75__page-0109.jpg,62505
tower-of-god,Tower of God,55,episode-000055-season-1-ep-54,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000055-season-1-ep-54/page-0406.jpg,datasets/pages/single/tower-of-god_manwa/episode-000055-season-1-ep-54__page-0406.jpg,40930
omniscient-reader,Omniscient Reader,45,episode-000045-episode-44,datasets/pages/source/webtoon_cleaned_dim_v2/omniscient-reader/episode-000045-episode-44/page-0010.jpg,datasets/pages/single/omniscient-reader_manwa/episode-000045-episode-44__page-0010.jpg,68059
teenage-mercenary,Teenage Mercenary,70,episode-000070-episode-69,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000070-episode-69/page-0311.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000070-episode-69__page-0311.jpg,123589
teenage-mercenary,Teenage Mercenary,13,episode-000013-episode-12,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000013-episode-12/page-0352.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000013-episode-12__page-0352.jpg,78583
omniscient-reader,Omniscient Reader,221,episode-000221-episode-220,datasets/pages/source/webtoon_cleaned_dim_v2/omniscient-reader/episode-000221-episode-220/page-0025.jpg,datasets/pages/single/omniscient-reader_manwa/episode-000221-episode-220__page-0025.jpg,122187
omniscient-reader,Omniscient Reader,209,episode-000209-episode-208,datasets/pages/source/webtoon_cleaned_dim_v2/omniscient-reader/episode-000209-episode-208/page-0150.jpg,datasets/pages/single/omniscient-reader_manwa/episode-000209-episode-208__page-0150.jpg,99597
